id,level,problem_id,name
299,0, 3162,turbo
300,0, 3170,grad
301,0, 3171,크레인
302,0, 3177,크로아티아 수 읽기
303,0, 3178,코코스
304,0, 3179,삼각형
305,0, 3180,바나나
306,0, 3188,nule
307,0, 3191,autoput
308,0, 3193,공
309,0, 3195,ribari
310,0, 3196,utrka
311,0, 3198,nagibni
312,0, 3199,ABCD
313,0, 3200,xl
314,0, 3201,vid
315,0, 3202,papir
316,0, 3209,gumbi
317,0, 3210,piloti
318,0, 3227,MO
319,0, 3228,극한 피자 배달
320,0, 3229,LIFTOVI
321,0, 3230,"금메달, 은메달, 동메달은 누가?"
322,0, 3233,BRODOVI
323,0, 3245,거리
324,0, 3246,SLALOM
325,0, 3247,A1
326,0, 3250,VOKITOKI
327,0, 3255,WINDOWS
328,0, 3256,비행기
329,0, 3262,BUHA
330,0, 3263,LIGNJA
331,0, 3269,PARKING
332,0, 3272,SAFE
333,0, 3302,Job Scheduling
334,0, 3313,The Alliances
335,0, 3314,An Arithmetic Rectangle
336,0, 3317,PIN
337,0, 3320,사진
338,0, 3322,정렬의 시간복잡도
339,0, 3324,Dominance
340,0, 3325,Information
341,0, 3326,Knights
342,0, 3327,Fence
343,0, 3328,Choosing Orders and Renting Machines
344,0, 3329,Ministry
345,0, 3330,Nasty Calculations
346,0, 3331,Airport Show
347,0, 3332,Royal treasury
348,0, 3338,Depot Rearrangement
349,0, 3339,Mobile Service
350,0, 3342,Lanterns
351,0, 3359,사각 사각
352,0, 3361,Handshakes
353,0, 3362,수수께끼
354,0, 3383,Submarines
355,0, 3385,Speed Limits
356,0, 3386,테니스 클럽
357,0, 3388,L Game
358,0, 3389,Moving Robots
359,0, 3416,Boring Card Game
360,0, 3422,Vigenère Cipher Analysis
361,0, 3423,The Grille
362,0, 3436,Strange Billboard
363,0, 3438,Hexagonal Parcels
364,0, 3439,Key Task
365,0, 3441,Weird Numbers
366,0, 3442,직각 다각형
367,0, 3445,Tough Water Level
368,0, 3446,Ants
369,0, 3450,Desperate Electrician
370,0, 3452,Bundling
371,0, 3453,Shortcut
372,0, 3454,Dice Contest
373,0, 3455,November Rain
374,0, 3456,축구공
375,0, 3457,Which is Next
376,0, 3458,Hang or not to hang
377,0, 3463,Calendar of Maya
378,0, 3466,Choir
379,0, 3468,Horizontally Visible Segments
380,0, 3470,The Bulk
381,0, 3471,Complete the sequence!
382,0, 3472,Direct Visibility
383,0, 3475,The Game of Master-Mind
384,0, 3478,Run Away
385,0, 3479,Equipment Box
386,0, 3480,Secret Code
387,0, 3481,The Proper Key
388,0, 3484,Lifting the Stone
389,0, 3485,Play on Words
390,0, 3488,Substitution Cipher
391,0, 3489,Commedia dell' arte
392,0, 3491,Skyscraper Floors
393,0, 3493,Hares and Foxes
394,0, 3494,Invitation Cards
395,0, 3496,Binary Encoding
396,0, 3500,Flights
397,0, 3502,Huzita Axiom 6
398,0, 3504,Journey
399,0, 3506,Lanes
400,0, 3509,Cube Coloring
401,0, 3519,계산왕 연산군
402,0, 3521,Dome of Circus
403,0, 3522,Evacuation Plan
404,0, 3542,Database
405,0, 3544,Funny Language
406,0, 3545,Garbling Game
407,0, 3547,Inspection
408,0, 3548,Java Certification
409,0, 3549,K-equivalence
410,0, 3561,Aerodynamics
411,0, 3562,Clock
412,0, 3563,Finding Liars
413,0, 3564,Exclusive Access
414,0, 3567,Hell on the Markets
415,0, 3569,Javanese Cryptoanalysis
416,0, 3570,KINA Is Not Abbreviation
417,0, 3582,Ants
418,0, 3583,Building for UN
419,0, 3585,Diver
420,0, 3587,Fund Management
421,0, 3588,Water Main Break
422,0, 3589,Christmas Gifts
423,0, 3591,Japanese Writing
424,0, 3592,Kingdom Partitioning
425,0, 3598,엘리베이터
426,0, 3605,Billing Tables
427,0, 3607,Driving Directions
