number,name,correct_user,submission_cnt,correct_rate,level,avg_try
1125,바닥 장식,11,158,14.865,16,6.73
1126,같은 탑,934,5798,23.651999999999997,19,4.23
1127,떡국,28,84,57.143,23,1.75
1128,피보나치 냅색,65,654,18.258,20,5.48
1129,키,22,138,34.921,18,2.86
1130,종이 레이싱,4,26,16.667,21,6.0
1131,숫자,58,434,24.576,15,4.07
1132,합,317,1790,22.938000000000002,13,4.37
1133,반복되지 않는 단어,10,120,24.39,16,4.1
1134,식,9,63,47.368,21,2.11
1135,뉴스 전하기,477,1558,38.971,16,2.57
1136,조각 놓기,6,34,22.221999999999998,15,4.5
1137,로봇 레이스,9,27,47.368,17,2.11
1138,한 줄로 서기,2913,6410,55.976000000000006,9,1.79
1139,울타리,35,213,31.818,15,3.14
1140,요금,14,734,13.592,23,7.36
1141,접두사,148,418,44.048,9,2.27
1142,피자,11,94,17.742,18,5.64
1143,경찰,15,146,33.333,20,3.0
1144,싼 비용,37,291,26.055999999999997,23,3.84
1145,적어도 대부분의 배수,1500,2890,59.382,5,1.68
1146,지그재그 서기,301,951,42.695,16,2.34
1147,텐트,17,119,31.480999999999998,20,3.18
1148,단어 만들기,36,141,37.895,10,2.64
1149,RGB거리,20645,57610,48.12,10,2.08
1150,백업,185,1285,25.342,22,3.95
1151,그림자,5,15,41.667,15,2.4
1152,단어의 개수,33470,154510,28.265,4,3.54
1153,네 개의 소수,434,1597,39.744,12,2.52
1154,팀 편성,31,142,31.313000000000002,16,3.19
1155,변형 하노이,14,56,58.333,15,1.71
1156,장난감,10,82,28.570999999999998,20,3.5
1157,단어 공부,28478,91210,38.873000000000005,5,2.57
1158,요세푸스 문제,14146,39824,49.208999999999996,6,2.03
1159,농구 경기,3757,8099,51.643,4,1.94
1160,Random Number Generator,33,305,45.205,17,2.21
1161,버스,24,118,46.153999999999996,19,2.17
1162,도로포장,597,6260,21.006,15,4.76
1163,증가하는 리스트,4,31,30.769000000000002,21,3.25
1164,가리기,6,55,42.857,19,2.33
1165,단어퍼즐,15,144,27.273000000000003,22,3.67
1166,선물,262,2547,15.457,8,6.47
1167,트리의 지름,4189,15823,35.635999999999996,13,2.81
1168,요세푸스 문제 2,383,5772,31.575,17,3.17
1169,정사각형 진열,9,65,31.034000000000002,14,3.22
1170,선인장의 개수,46,173,38.333,18,2.61
1171,사오정,6,17,60.0,21,1.67
1173,운동,1041,3777,33.027,4,3.03
1174,줄어드는 숫자,424,1347,41.36600000000001,10,2.42
1175,배달,345,2096,22.939,15,4.36
1176,섞기,66,242,35.294000000000004,15,2.83
1177,조쌤포스,29,162,22.656,16,4.41
1178,간선 추가,34,369,34.0,15,2.94
1179,마지막 요세푸스 문제,105,548,35.235,18,2.84
1180,선인장의 지름,21,114,24.419,23,4.1
1181,단어 정렬,15488,51090,40.101,6,2.49
1182,부분수열의 합,9947,34036,44.231,9,2.26
1183,약속,58,321,34.32,6,2.91
1184,귀농,189,625,42.093999999999994,15,2.38
1185,유럽여행,187,376,60.714,17,1.65
1186,직사각형 색칠하기,26,158,22.609,12,4.42
1187,숫자 놀이,39,240,45.882,21,2.18
1188,음식 평론가,1271,3651,45.474,11,2.2
1189,컴백홈,302,634,54.122,10,1.85
1193,분수찾기,18611,43382,51.68600000000001,4,1.93
1194,"달이 차오른다, 가자.",1880,8085,32.181,15,3.11
1195,킥다운,66,320,30.415,11,3.29
1196,잭 바우어,18,575,5.263,22,19.0
1197,최소 스패닝 트리,7091,30420,39.938,12,2.5
1198,삼각형으로 자르기,88,180,56.41,8,1.77
1199,오일러 회로,869,6141,22.773000000000003,14,4.39
1200,기상예측,38,119,48.718,19,2.05
1201,NMK,815,3523,30.965,18,3.23
